Folder,Sub-folder,File,Current Squiz link,New squiz link
,,pexels-rdne-stock-project-5915301-002.jpg,https://www.deakin.edu.au/__data/assets/image/0003/2731935/pexels-rdne-stock-project-5915301-002.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/pexels-rdne-stock-project-5915301-002.jpg
,,pexels-philip-lindvall-1120275.jpg,https://www.deakin.edu.au/__data/assets/image/0004/2731936/pexels-philip-lindvall-1120275.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/pexels-philip-lindvall-1120275.jpg
,,pexels-shvets-production-7516347.jpg,https://www.deakin.edu.au/__data/assets/image/0005/2731937/pexels-shvets-production-7516347.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/pexels-shvets-production-7516347.jpg
,,GNMP-dates.PNG,https://www.deakin.edu.au/__data/assets/image/0008/2748734/GNMP-dates.PNG,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/GNMP-dates.PNG
,,Career-Change-Activity-Experience.pdf,https://www.deakin.edu.au/__data/assets/pdf_file/0006/2755302/Career-Change-Activity-Experience.pdf,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Career-Change-Activity-Experience.pdf
,,Career-Change-Activity-Motivators-and-Demotivators.pdf,https://www.deakin.edu.au/__data/assets/pdf_file/0007/2755303/Career-Change-Activity-Motivators-and-Demotivators.pdf,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Career-Change-Activity-Motivators-and-Demotivators.pdf
,,Career-Change-Activity-Interests.pdf,https://www.deakin.edu.au/__data/assets/pdf_file/0008/2755304/Career-Change-Activity-Interests.pdf,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Career-Change-Activity-Interests.pdf
,,Career-Change-Activity-Values.pdf,https://www.deakin.edu.au/__data/assets/pdf_file/0009/2755305/Career-Change-Activity-Values.pdf,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Career-Change-Activity-Values.pdf
,,Career-Change-Activity-Knowledge.pdf,https://www.deakin.edu.au/__data/assets/pdf_file/0004/2755651/Career-Change-Activity-Knowledge.pdf,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Career-Change-Activity-Knowledge.pdf
,,Career-Change-Activity-Circles-of-Control.pdf,https://www.deakin.edu.au/__data/assets/pdf_file/0005/2755652/Career-Change-Activity-Circles-of-Control.pdf,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Career-Change-Activity-Circles-of-Control.pdf
,,Career-Change-Activity-SWOT.pdf,https://www.deakin.edu.au/__data/assets/pdf_file/0006/2755653/Career-Change-Activity-SWOT.pdf,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Career-Change-Activity-SWOT.pdf
,,Career-Change-Activity-Value-proposition.pdf,https://www.deakin.edu.au/__data/assets/pdf_file/0007/2755654/Career-Change-Activity-Value-proposition.pdf,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Career-Change-Activity-Value-proposition.pdf
,,content.png,https://www.deakin.edu.au/__data/assets/image/0006/2760360/content.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/content.png
,,Prosple_profile.png,https://www.deakin.edu.au/__data/assets/image/0004/2760367/Prosple_profile.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Prosple_profile.png
,,Prosple_banner.JPG,https://www.deakin.edu.au/__data/assets/image/0006/2760369/Prosple_banner.JPG,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Prosple_banner.JPG
,,Value-Proposition.png,https://www.deakin.edu.au/__data/assets/image/0004/2761969/Value-Proposition.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Value-Proposition.png
,,Law-Checklist.png,https://www.deakin.edu.au/__data/assets/image/0005/2782211/Law-Checklist.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Law-Checklist.png
,,Law-Student.png,https://www.deakin.edu.au/__data/assets/image/0007/2782213/Law-Student.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Law-Student.png
,,Law-Student-2.png,https://www.deakin.edu.au/__data/assets/image/0011/2782217/Law-Student-2.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Law-Student-2.png
,,Law-Firm.png,https://www.deakin.edu.au/__data/assets/image/0003/2782218/Law-Firm.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Law-Firm.png
,,Judge.png,https://www.deakin.edu.au/__data/assets/image/0005/2782220/Judge.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Judge.png
,,Court.png,https://www.deakin.edu.au/__data/assets/image/0006/2782221/Court.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Court.png
,,Law-Key-Dates.png,https://www.deakin.edu.au/__data/assets/image/0005/2786891/Law-Key-Dates.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Law-Key-Dates.png
,,Law-Recruitment-Stages.png,https://www.deakin.edu.au/__data/assets/image/0005/2786900/Law-Recruitment-Stages.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Law-Recruitment-Stages.png
